196,CLS,"Celestica, Inc.",Technology,Electronic Components,Canada,3.54B,15.26,25.66,3.34%,"1,343,652"
197,CLW,Clearwater Paper Corp,Basic Materials,Paper & Paper Products,USA,589.20M,7.16,35.58,0.08%,"140,942"
198,CMC,Commercial Metals Co.,Basic Materials,Steel,USA,5.33B,6.29,45.59,0.51%,"1,049,591"
199,CME,CME Group Inc,Financial,Financial Data & Stock Exchanges,USA,75.05B,24.90,208.62,-1.86%,"2,425,081"
200,CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery,USA,32.00B,11.51,225.88,3.64%,"1,167,737"
201,CMRX,Chimerix Inc,Healthcare,Biotechnology,USA,93.89M,0.51,1.06,8.16%,"567,009"
202,CMT,Core Molding Technologies,Basic Materials,Specialty Chemicals,USA,221.28M,11.20,25.73,2.22%,"68,074"
203,CNA,CNA Financial Corp.,Financial,Insurance - Property & Casualty,USA,10.85B,10.04,40.04,-0.94%,"151,346"
204,CNI,Canadian National Railway Co.,Industrials,Railroads,Canada,71.88B,20.32,110.98,1.90%,"927,593"
205,CNQ,Canadian Natural Resources Ltd.,Energy,Oil & Gas E&P,Canada,73.01B,14.04,66.95,-1.43%,"6,724,397"
206,CNS,Cohen & Steers Inc.,Financial,Asset Management,USA,2.79B,21.28,56.69,2.51%,"140,237"
207,CNX,CNX Resources Corp,Energy,Oil & Gas E&P,USA,3.55B,1.89,22.35,0.40%,"2,521,394"
208,COCO,Vita Coco Company Inc,Consumer Defensive,Beverages - Non-Alcoholic,USA,1.64B,46.05,28.93,1.58%,"1,414,420"
209,COF,Capital One Financial Corp.,Financial,Credit Services,USA,40.55B,7.99,106.32,1.60%,"3,375,272"
210,COKE,Coca-Cola Consolidated Inc,Consumer Defensive,Beverages - Non-Alcoholic,USA,6.12B,13.60,653.00,1.50%,"42,995"
211,COLM,Columbia Sportswear Co.,Consumer Cyclical,Apparel Manufacturing,USA,4.76B,16.90,77.59,2.24%,"429,008"
212,COP,Conoco Phillips,Energy,Oil & Gas E&P,USA,143.40B,11.52,119.75,-1.86%,"5,924,134"
213,CORT,Corcept Therapeutics Inc,Healthcare,Biotechnology,USA,2.64B,31.65,25.62,1.30%,"1,552,077"
214,COST,Costco Wholesale Corp,Consumer Defensive,Discount Stores,USA,248.33B,39.62,560.90,0.89%,"1,825,897"
215,CP,Canadian Pacific Kansas City Limited,Industrials,Railroads,Canada,69.25B,22.42,74.32,1.27%,"1,886,594"
216,CPE,Callon Petroleum Co.,Energy,Oil & Gas E&P,USA,2.46B,4.54,36.24,-2.27%,"2,528,984"
217,CPF,Central Pacific Financial Corp.,Financial,Banks - Regional,USA,472.93M,7.42,17.49,4.42%,"131,708"
218,CPHC,Canterbury Park Holding Corp,Consumer Cyclical,Gambling,USA,97.17M,8.05,19.71,-6.38%,"4,468"
219,CPK,Chesapeake Utilities Corp,Utilities,Utilities - Regulated Gas,USA,1.65B,18.78,92.71,1.51%,"104,413"
220,CPNG,Coupang Inc,Consumer Cyclical,Internet Retail,USA,29.81B,69.97,16.71,1.40%,"6,847,540"
221,CPRT,"Copart, Inc.",Industrials,Specialty Business Services,USA,43.97B,35.89,45.93,1.50%,"3,258,282"
222,CPRX,Catalyst Pharmaceuticals Inc,Healthcare,Biotechnology,USA,1.40B,12.91,13.16,4.28%,"1,659,445"
223,CR,Crane Co,Industrials,Specialty Industrial Machinery,USA,5.68B,15.35,99.97,0.36%,"210,684"
224,CRAI,CRA International Inc.,Industrials,Consulting Services,USA,600.25M,15.94,85.75,2.73%,"83,239"
225,CRC,California Resources Corporation,Energy,Oil & Gas E&P,USA,3.58B,8.32,51.85,-1.24%,"785,635"
226,CRGY,Crescent Energy Co.,Energy,Oil & Gas E&P,USA,948.74M,2.94,12.49,-0.24%,"648,331"
227,CRH,CRH Plc,Basic Materials,Building Materials,Ireland,44.91B,14.63,56.88,0.21%,"2,182,174"
